Frame,X pixels,Y pixels,centerx,centery,offx,offy,atn2
113,164.18,104.355,,,-153.32,138.045,-48.00102121
114,164.168,104.355,,,-153.332,138.045,-48.00325102
115,164.211,104.355,,,-153.289,138.045,-47.99525996
116,164.418,103.312,,,-153.082,139.088,-47.74218724
117,164.934,103.34,,,-152.566,139.06,-47.65163
118,165.055,103.367,,,-152.445,139.033,-47.63453621
119,165.078,103.363,,,-152.422,139.037,-47.62941117
120,165.152,103.371,,,-152.348,139.029,-47.61719919
121,165.145,103.398,,,-152.355,139.002,-47.62405077
122,165.098,103.047,,,-152.402,139.353,-47.56089763
123,165.094,102.457,,,-152.406,139.943,-47.4410728
124,165.086,102.402,,,-152.414,139.998,-47.43135487
125,165.262,102.488,,,-152.238,139.912,-47.41591369
126,165.859,102.402,,,-151.641,139.998,-47.28618494
127,165.898,102.406,,,-151.602,139.994,-47.27965547
128,166.059,102.41,,,-151.441,139.99,-47.25012658
129,166.055,101.422,,,-151.445,140.978,-47.04997213
130,165.941,101.41,,,-151.559,140.99,-47.0690409
131,165.934,101.406,,,-151.566,140.994,-47.06954993
132,165.859,101.398,,,-151.641,141.002,-47.08206401
133,165.871,101.41,,,-151.629,140.99,-47.08223463
134,166.121,101.371,,,-151.379,141.029,-47.02718069
135,166.914,101.387,,,-150.586,141.013,-46.88030678
136,166.953,101.184,,,-150.547,141.216,-46.83177701
137,166.879,100.703,,,-150.621,141.697,-46.74860522
138,166.898,100.59,,,-150.602,141.81,-46.72220283
139,166.914,100.574,,,-150.586,141.826,-46.71593833
140,166.91,100.609,,,-150.59,141.791,-46.72375582
141,166.836,100.586,,,-150.664,141.814,-46.73316618
142,166.859,100.566,,,-150.641,141.834,-46.72476793
143,166.91,99.6641,,,-150.59,142.7359,-46.53378642
144,167.641,99.7344,,,-149.859,142.6656,-46.40866243
145,167.648,99.7266,,,-149.852,142.6734,-46.40576151
146,167.73,99.6914,,,-149.77,142.7086,-46.38304079
147,167.77,99.707,,,-149.73,142.693,-46.37852562
148,167.828,99.7188,,,-149.672,142.6812,-46.36980549
149,167.793,99.293,,,-149.707,143.107,-46.29122284
150,167.668,98.6992,,,-149.832,143.7008,-46.19659816
151,167.742,98.7383,,,-149.758,143.6617,-46.19024733
152,168.613,98.7383,,,-148.887,143.6617,-46.02326828
153,168.523,98.7305,,,-148.977,143.6695,-46.0390147
154,168.551,98.7539,,,-148.949,143.6461,-46.03829671
155,168.559,98.7539,,,-148.941,143.6461,-46.03675901
156,168.539,98.7617,,,-148.961,143.6383,-46.0421577
157,168.566,98.7695,,,-148.934,143.6305,-46.03852275
158,168.621,98.1836,,,-148.879,144.2164,-45.91139189
159,168.555,98.1641,,,-148.945,144.2359,-45.92021123
160,168.719,98.2188,,,-148.781,144.1812,-45.89952722
161,169.539,98.1953,,,-147.961,144.2047,-45.73659666
162,169.469,98.2109,,,-148.031,144.1891,-45.75324036
163,169.496,98.1875,,,-148.004,144.2125,-45.74336924
164,169.488,97.4375,,,-148.012,144.9625,-45.59635624
165,169.469,97.3203,,,-148.031,145.0797,-45.57688552
166,169.473,97.3438,,,-148.027,145.0562,-45.58075138
167,169.488,97.3281,,,-148.012,145.0719,-45.57474897
168,169.594,97.3594,,,-147.906,145.0406,-45.56040961
169,170.43,97.3281,,,-147.07,145.0719,-45.39186749
170,170.336,97.3438,,,-147.164,145.0562,-45.41327037
171,170.324,97.3398,,,-147.176,145.0602,-45.41481614
172,170.344,97.3398,,,-147.156,145.0602,-45.41092327
173,170.34,96.3359,,,-147.16,146.0641,-45.21413708
174,170.371,96.3633,,,-147.129,146.0367,-45.21347617
175,170.371,96.3555,,,-147.129,146.0445,-45.21194613
176,170.395,96.3477,,,-147.105,146.0523,-45.20574281
177,170.531,96.3867,,,-146.969,146.0133,-45.18689655
178,171.18,96.3594,,,-146.32,146.0406,-45.05475579
179,171.215,95.457,,,-146.285,146.943,-44.8714292
180,171.273,95.3867,,,-146.227,147.0133,-44.8463664
181,171.27,95.375,,,-146.23,147.025,-44.84467432
182,171.309,95.3477,,,-146.191,147.0523,-44.8317141
183,171.27,95.3672,,,-146.23,147.0328,-44.84315455
184,171.293,95.3867,,,-146.207,147.0133,-44.84244791
185,171.273,95.3672,,,-146.227,147.0328,-44.84256682
186,171.5,95.3711,,,-146,147.0289,-44.79882058
187,172.145,95.3633,,,-145.355,147.0367,-44.67046517
188,172.219,94.3672,,,-145.281,148.0328,-44.46248045
189,172.219,94.3906,,,-145.281,148.0094,-44.46700848
190,172.23,94.4219,,,-145.27,147.9781,-44.47089754
191,172.25,94.4062,,,-145.25,147.9938,-44.4639151
192,172.258,94.3867,,,-145.242,148.0133,-44.45856369
193,172.258,94.3867,,,-145.242,148.0133,-44.45856369
194,172.262,93.4766,,,-145.238,148.9234,-44.28220759
195,172.281,93.4102,,,-145.219,148.9898,-44.26569465
196,172.582,93.3984,,,-144.918,149.0016,-44.20400684
197,173.133,93.4219,,,-144.367,148.9781,-44.09944017
198,173.148,93.3945,,,-144.352,149.0055,-44.09119914
199,173.129,93.4492,,,-144.371,148.9508,-44.10548111
200,173.125,93.418,,,-144.375,148.982,-44.10027728
201,173.109,93.3633,,,-144.391,149.0367,-44.0929392
202,173.082,92.6719,,,-144.418,149.7281,-43.96577492
203,173.125,92.6094,,,-144.375,149.7906,-43.94530164
204,173.109,92.6211,,,-144.391,149.7789,-43.9507104
205,173.391,92.6602,,,-144.109,149.7398,-43.90221911
206,173.938,92.5977,,,-143.562,149.8023,-43.78141635
207,173.949,92.6133,,,-143.551,149.7867,-43.78220396
208,173.938,92.6172,,,-143.562,149.7828,-43.78514237
209,173.977,92.4688,,,-143.523,149.9312,-43.74902295
210,173.965,91.6055,,,-143.535,150.7945,-43.58711275
211,173.926,91.5977,,,-143.574,150.8023,-43.5934062
212,173.891,91.6094,,,-143.609,150.7906,-43.60260075
213,173.898,91.6016,,,-143.602,150.7984,-43.59972591
214,173.871,91.6055,,,-143.629,150.7945,-43.60584539
215,174.285,91.5195,,,-143.215,150.8805,-43.50694288
216,174.766,91.5625,,,-142.734,150.8375,-43.41885714
217,174.75,91.6055,,,-142.75,150.7945,-43.43021905
218,174.766,90.7148,,,-142.734,151.6852,-43.25857808
219,174.773,90.7383,,,-142.727,151.6617,-43.26160614
220,174.742,90.7031,,,-142.758,151.6969,-43.26118024
221,174.727,90.6914,,,-142.773,151.7086,-43.26197927
222,174.742,90.7148,,,-142.758,151.6852,-43.2633858
223,175.152,90.6914,,,-142.348,151.7086,-43.17673935
224,175.73,90.5742,,,-141.77,151.8258,-43.0383583
225,175.738,90.2578,,,-141.762,152.1422,-42.9772506
226,175.703,90.2109,,,-141.797,152.1891,-42.9754973
227,175.73,90.2617,,,-141.77,152.1383,-42.97959574
228,175.707,90.25,,,-141.793,152.15,-42.98203393
229,175.688,90.2305,,,-141.812,152.1695,-42.98220066
230,175.957,90.4258,,,-141.543,151.9742,-42.96464292
231,176.715,90.2656,,,-140.785,152.1344,-42.7811384
232,176.691,89.3164,,,-140.809,153.0836,-42.60839751
233,176.691,89.3164,,,-140.809,153.0836,-42.60839751
234,176.746,89.3086,,,-140.754,153.0914,-42.5957901
235,176.691,89.3203,,,-140.809,153.0797,-42.60912482
236,176.906,89.2734,,,-140.594,153.1266,-42.55676043
237,177.555,88.8633,,,-139.945,153.5367,-42.34841726
238,177.547,88.3203,,,-139.953,154.0797,-42.24935909
239,177.555,88.3164,,,-139.945,154.0836,-42.24700725
240,177.543,88.2656,,,-139.957,154.1344,-42.24005256
241,177.746,88.4023,,,-139.754,153.9977,-42.22396434
242,178.402,88.3438,,,-139.098,154.0562,-42.07901472
243,178.379,88.3477,,,-139.121,154.0523,-42.08444821
244,178.391,88.293,,,-139.109,154.107,-42.07187243
245,178.371,87.3477,,,-139.129,155.0523,-41.90174575
246,178.574,87.3086,,,-138.926,155.0914,-41.85298354
247,179.195,87.3516,,,-138.305,155.0484,-41.73333778
248,179.215,87.3594,,,-138.285,155.0406,-41.73065355
249,179.238,87.3242,,,-138.262,155.0758,-41.7194585
250,179.211,87.3516,,,-138.289,155.0484,-41.73004497
251,179.535,86.957,,,-137.965,155.443,-41.59098029
252,180.156,86.3516,,,-137.344,156.0484,-41.35220676
253,180.129,86.3555,,,-137.371,156.0445,-41.35850268
254,180.188,86.3516,,,-137.312,156.0484,-41.3455854
255,180.18,86.3633,,,-137.32,156.0367,-41.34937145
256,180.32,86.418,,,-137.18,155.982,-41.33035038
257,181.258,86.4062,,,-136.242,155.9938,-41.13334092
258,181.176,85.4531,,,-136.324,156.9469,-40.97756466
259,181.141,85.4453,,,-136.359,156.9547,-40.98343682
260,181.27,85.4023,,,-136.23,156.9977,-40.94882077
261,181.914,85.4141,,,-135.586,156.9859,-40.81660326
262,181.953,85.4023,,,-135.547,156.9977,-40.80631942
263,182.062,85.1211,,,-135.438,157.2789,-40.73281617
264,181.953,84.6094,,,-135.547,157.7906,-40.66359706
265,182.102,84.582,,,-135.398,157.818,-40.62753497
266,182.93,84.5352,,,-134.57,157.8648,-40.44554423
267,182.918,84.5586,,,-134.582,157.8414,-40.45225982
268,182.906,84.5625,,,-134.594,157.8375,-40.45548096
269,182.918,84.582,,,-134.582,157.818,-40.45645383
270,182.898,84.582,,,-134.602,157.818,-40.46065745
271,183.812,83.5625,,,-133.688,158.8375,-40.08615285
272,183.801,83.5391,,,-133.699,158.8609,-40.08431718
273,183.715,83.5234,,,-133.785,158.8766,-40.09967928
274,183.77,83.5586,,,-133.73,158.8414,-40.09432666
275,184.68,83.543,,,-132.82,158.857,-39.898924
276,184.656,83.5234,,,-132.844,158.8766,-39.90053974
277,184.672,83.2773,,,-132.828,159.1227,-39.85350997
278,184.676,82.7344,,,-132.824,159.6656,-39.7566859
279,184.703,82.7539,,,-132.797,159.6461,-39.7543997
280,185.648,82.7617,,,-131.852,159.6383,-39.55473599
281,185.637,82.7383,,,-131.863,159.6617,-39.55295955
282,185.547,82.7422,,,-131.953,159.6578,-39.57284206
283,185.598,82.7578,,,-131.902,159.6422,-39.56471504
284,186.52,82.2266,,,-130.98,160.1734,-39.27419801
285,186.539,82.2461,,,-130.961,160.1539,-39.27354323
286,186.547,82.2656,,,-130.953,160.1344,-39.27524689
287,186.535,82.2773,,,-130.965,160.1227,-39.27987132
288,186.578,82.2773,,,-130.922,160.1227,-39.27065097
289,186.578,82.2773,,,-130.922,160.1227,-39.27065097
290,187.395,81.4219,,,-130.105,160.9781,-38.94568159
291,187.434,81.3047,,,-130.066,161.0953,-38.91690144
292,187.41,81.3125,,,-130.09,161.0875,-38.92342452
293,187.402,81.2969,,,-130.098,161.1031,-38.92243471
294,187.512,81.2969,,,-129.988,161.1031,-38.89874758
295,188.156,81.2812,,,-129.344,161.1188,-38.75702697
296,188.242,81.2695,,,-129.258,161.1305,-38.73639407
297,188.199,81.25,,,-129.301,161.15,-38.74231179
298,188.152,80.3086,,,-129.348,162.0914,-38.58966476
299,188.191,80.3086,,,-129.309,162.0914,-38.58124142
300,188.355,80.3516,,,-129.145,162.0484,-38.55320752
301,189.039,80.3359,,,-128.461,162.0641,-38.40229659
302,189.082,80.332,,,-128.418,162.068,-38.39228807
303,188.945,80.3398,,,-128.555,162.0602,-38.42337146
304,189.062,79.4688,,,-128.438,162.9312,-38.24856832
305,189.281,79.3047,,,-128.219,163.0953,-38.17301272
306,190.055,79.3516,,,-127.445,163.0484,-38.01257287
307,189.93,79.3359,,,-127.57,163.0641,-38.03715201
308,189.93,79.3477,,,-127.57,163.0523,-38.03916425
309,189.926,79.3516,,,-127.574,163.0484,-38.04070123
310,189.828,79.3477,,,-127.672,163.0523,-38.0613904
311,189.859,79.3711,,,-127.641,163.0289,-38.05862827
312,190.277,78.4688,,,-127.223,163.9312,-37.81416535
313,190.879,78.3594,,,-126.621,164.0406,-37.66412599
314,190.883,78.3555,,,-126.617,164.0445,-37.66259162
315,190.867,78.3594,,,-126.633,164.0406,-37.66675236
316,190.852,78.3516,,,-126.648,164.0484,-37.66871726
317,190.832,78.3555,,,-126.668,164.0445,-37.6737526
318,191.27,77.4531,,,-126.23,164.9469,-37.425984
319,191.719,77.4922,,,-125.781,164.9078,-37.33404458
320,191.688,77.4141,,,-125.812,164.9859,-37.32777159
321,191.746,77.4648,,,-125.754,164.9352,-37.32352365
322,191.816,77.4531,,,-125.684,164.9469,-37.30618367
323,191.812,77.4648,,,-125.688,164.9352,-37.30902203
324,192.062,77.4023,,,-125.438,164.9977,-37.24358206
325,192.625,76.6172,,,-124.875,165.7828,-36.98868992
326,192.625,76.5352,,,-124.875,165.8648,-36.97507477
327,192.637,76.5234,,,-124.863,165.8766,-36.97047054
328,192.605,76.5352,,,-124.895,165.8648,-36.97948393
329,192.594,76.5,,,-124.906,165.9,-36.97606642
330,192.895,76.5781,,,-124.605,165.8219,-36.9226189
331,193.465,75.5547,,,-124.035,166.8453,-36.62760004
332,193.434,75.4961,,,-124.066,166.9039,-36.6248221
333,193.484,75.4844,,,-124.016,166.9156,-36.61184227
334,193.488,75.4492,,,-124.012,166.9508,-36.60517413
335,193.891,75.4648,,,-123.609,166.9352,-36.51850352
336,194.34,75.4688,,,-123.16,166.9312,-36.41949745
337,194.391,75.4922,,,-123.109,166.9078,-36.41199786
338,194.414,75.457,,,-123.086,166.943,-36.4011129
339,194.406,74.7656,,,-123.094,167.6344,-36.28985133
340,194.434,74.7305,,,-123.066,167.6695,-36.2779111
341,194.777,74.7031,,,-122.723,167.6969,-36.19720168
342,195.336,74.7539,,,-122.164,167.6461,-36.08088752
343,195.375,74.7539,,,-122.125,167.6461,-36.07218059
344,195.383,74.6328,,,-122.117,167.7672,-36.05070684
345,195.387,74.2617,,,-122.113,168.1383,-35.98959954
346,195.363,73.7773,,,-122.137,168.6227,-35.9166117
347,195.621,73.6875,,,-121.879,168.7125,-35.84458982
348,196.27,73.793,,,-121.23,168.607,-35.71648607
349,196.266,73.7617,,,-121.234,168.6383,-35.71234131
350,196.285,73.7891,,,-121.215,168.6109,-35.71249765
351,196.285,73.793,,,-121.215,168.607,-35.71312577
352,196.285,72.8203,,,-121.215,169.5797,-35.55705722
353,196.566,72.8164,,,-120.934,169.5836,-35.49354891
354,197.105,73.2031,,,-120.395,169.1969,-35.43441515
355,197.102,73.2188,,,-120.398,169.1812,-35.4376012
356,197.109,73.2305,,,-120.391,169.1695,-35.43789939
357,197.121,73.2461,,,-120.379,169.1539,-35.43769745
358,197.453,72.7852,,,-120.047,169.6148,-35.28942971
359,198.035,72.2148,,,-119.465,170.1852,-35.06772505
360,197.949,72.2852,,,-119.551,170.1148,-35.09826764
361,197.977,72.3281,,,-119.523,170.0719,-35.0987522
362,197.914,72.2656,,,-119.586,170.1344,-35.10305232
363,197.965,72.3164,,,-119.535,170.0836,-35.099604
364,198.191,72.4648,,,-119.309,169.9352,-35.07212751
365,198.945,72.3281,,,-118.555,170.0719,-34.87987194
366,198.875,71.3516,,,-118.625,171.0484,-34.74197193
367,198.836,71.3359,,,-118.664,171.0641,-34.74832924
368,198.793,71.3516,,,-118.707,171.0484,-34.76051471
369,198.797,71.3398,,,-118.703,171.0602,-34.75775907
370,199.23,71.3008,,,-118.27,171.0992,-34.65364061
371,199.664,71.4688,,,-117.836,170.9312,-34.58147776
372,199.77,71.3359,,,-117.73,171.0641,-34.53658645
373,200.027,71.4688,,,-117.473,170.9312,-34.49891655
374,199.777,70.8711,,,-117.723,171.5289,-34.46242584
375,199.836,70.9805,,,-117.664,171.4195,-34.46608001
376,200,71.1211,,,-117.5,171.2789,-34.45073087
377,200.102,71.3477,,,-117.398,171.0523,-34.46290359
378,200.668,70.9609,,,-116.832,171.4391,-34.27357503
379,200.844,70.8359,,,-116.656,171.5641,-34.21396926
380,200.566,70.8516,,,-116.934,171.5484,-34.27984984
381,200.945,71.1562,,,-116.555,171.2438,-34.24068251
382,200.781,70.2031,,,-116.719,172.1969,-34.13031806
383,200.816,70.1992,,,-116.684,172.2008,-34.12173516
384,200.918,70.1797,,,-116.582,172.2203,-34.09545811
385,201,70.1094,,,-116.5,172.2906,-34.06589502
386,200.945,70.1172,,,-116.555,172.2828,-34.0796486
387,201.031,70.2148,,,-116.469,172.1852,-34.0750896
388,200.895,70.1133,,,-116.605,172.2867,-34.09045233
389,200.848,70.0625,,,-116.652,172.3375,-34.09332937
390,200.973,70.1484,,,-116.527,172.2516,-34.07807586
391,201.219,69.5547,,,-116.281,172.8453,-33.93053971
392,203.316,68.2461,,,-114.184,174.1539,-33.2508513
393,203.336,68.1953,,,-114.164,174.2047,-33.23858794
394,203.23,68.2422,,,-114.27,174.1578,-33.27004574
395,203.312,68.3516,,,-114.188,174.0484,-33.26769392
396,203.477,68.2266,,,-114.023,174.1734,-33.21085189
397,203.312,68.2305,,,-114.188,174.1695,-33.24941839
398,203.328,68.3008,,,-114.172,174.0992,-33.25634347
399,203.379,68.2266,,,-114.121,174.1734,-33.23341264
400,204.293,67.6406,,,-113.207,174.7594,-32.93467229
401,204.125,67.4141,,,-113.375,174.9859,-32.93957925
402,204.094,67.4609,,,-113.406,174.9391,-32.95372287
403,204.18,67.5508,,,-113.32,174.8492,-32.94732635
404,204.395,67.5742,,,-113.105,174.8258,-32.90118239
405,204.34,67.5391,,,-113.16,174.8609,-32.90864068
406,204.355,67.4141,,,-113.145,174.9859,-32.88650488
407,205.406,67.5195,,,-112.094,174.8805,-32.65884958
408,205.402,67.6211,,,-112.098,174.7789,-32.67490782
409,205.109,66.8555,,,-112.391,175.5445,-32.62908737
410,205.227,66.7422,,,-112.273,175.6578,-32.58498494
411,205.266,66.7188,,,-112.234,175.6812,-32.57248994
412,205.324,66.668,,,-112.176,175.732,-32.55154128
413,206.109,66.582,,,-111.391,175.818,-32.35665303
414,206.168,66.5703,,,-111.332,175.8297,-32.34120781
415,206.188,66.6602,,,-111.312,175.7398,-32.34979982
416,206.109,66.5703,,,-111.391,175.8297,-32.35492938
417,206.168,65.7734,,,-111.332,176.6266,-32.22421857
418,206.207,65.6836,,,-111.293,176.7164,-32.20202989
419,206.223,65.7266,,,-111.277,176.6734,-32.2046028
420,207.102,65.6914,,,-110.398,176.7086,-31.99491894
421,207.297,65.7383,,,-110.203,176.6617,-31.95624902
422,206.98,65.6953,,,-110.52,176.7047,-32.02393069
423,207.168,65.668,,,-110.332,176.732,-31.97611611
424,207.242,65.6797,,,-110.258,176.7203,-31.96055375
425,207.219,64.7148,,,-110.281,177.6852,-31.8259648
426,207.852,64.6641,,,-109.648,177.7359,-31.67107172
427,208.039,64.668,,,-109.461,177.732,-31.6279483
428,207.949,64.6484,,,-109.551,177.7516,-31.6461563
429,208.02,64.6367,,,-109.48,177.7633,-31.62788358
430,208.059,65.2422,,,-109.441,177.1578,-31.70611296
431,208.039,64.6875,,,-109.461,177.7125,-31.63075541
432,208.992,64.5312,,,-108.508,177.8688,-31.38507667
433,209.117,63.6797,,,-108.383,178.7203,-31.23426571
434,208.883,64.1992,,,-108.617,178.2008,-31.36315441
435,209.074,63.7188,,,-108.426,178.6812,-31.24990301
436,209.137,63.6719,,,-108.363,178.7281,-31.22846913
437,209.266,63.6641,,,-108.234,178.7359,-31.19711306
438,209.926,63.6484,,,-107.574,178.7516,-31.03983184
439,210.141,63.7227,,,-107.359,178.6773,-30.99972833
440,210.203,63.125,,,-107.297,179.275,-30.90073556
441,210.246,62.7344,,,-107.254,179.6656,-30.83570543
442,210.285,63.207,,,-107.215,179.193,-30.89298444
443,210.207,62.75,,,-107.293,179.65,-30.8470641
444,210.848,62.7539,,,-106.652,179.6461,-30.69668719
445,210.875,62.7227,,,-106.625,179.6773,-30.68595264
446,211.098,63.1758,,,-106.402,179.2242,-30.69679897
447,211.031,63.1719,,,-106.469,179.2281,-30.71208608
448,210.93,62.5781,,,-106.57,179.8219,-30.65276055
449,211.07,62.2852,,,-106.43,180.1148,-30.57887963
450,211.332,62.2578,,,-106.168,180.1422,-30.51325322
451,211.371,62.3008,,,-106.129,180.0992,-30.51002826
452,211.363,62.2383,,,-106.137,180.1617,-30.50322233
453,211.34,62.1992,,,-106.16,180.2008,-30.50321416
454,211.387,62.3438,,,-106.113,180.0562,-30.51223403
455,212.039,62.2383,,,-105.461,180.1617,-30.34336558
456,212.273,62.1602,,,-105.227,180.2398,-30.2770951
457,212.262,61.293,,,-105.238,181.107,-30.16009599
458,212.305,61.25,,,-105.195,181.15,-30.14401794
459,212.281,61.2891,,,-105.219,181.1109,-30.15506625
460,212.219,61.2109,,,-105.281,181.1891,-30.15898329
461,212.996,61.4062,,,-104.504,180.9938,-30.00170486
462,213.145,61.2305,,,-104.355,181.1695,-29.94226739
463,213.09,61.2656,,,-104.41,181.1344,-29.96012941
464,213.039,61.1406,,,-104.461,181.2594,-29.95513407
465,213.109,60.5977,,,-104.391,181.8023,-29.86447078
466,213.234,60.3711,,,-104.266,182.0289,-29.80404484
467,213.371,60.3867,,,-104.129,182.0133,-29.77368154
468,214.035,60.1641,,,-103.465,182.2359,-29.58587893
469,214.094,60.2266,,,-103.406,182.1734,-29.5802856
470,214.078,60.2539,,,-103.422,182.1461,-29.58777818
471,214.098,60.3516,,,-103.402,182.0484,-29.59622019
472,214.129,60.2266,,,-103.371,182.1734,-29.57195943
473,214.438,60.3359,,,-103.062,182.0641,-29.51313092
474,215.102,59.4961,,,-102.398,182.9039,-29.24210481
475,215.09,59.4414,,,-102.41,182.9586,-29.23766417
