Frame,URL,Minutes,Seconds,Frames,Date,HH,MM,SS,Zone,Track,Mode,VIC,COA-A,IR,15 -Zoom,Auto,?Dist,DFLT,AUTO,Analogue,Analogue,Analogue,,,,,Lat Deg,Lat Min,Lat Sec,Lat NS,Lon Deg,Lon Min,Lon Sec,Lon EW,Heading,36 - Altitude,37-TGT Alt,TGT Heading,TGT Dist NM,OFF,NONE,TGT,LOS,Tlat Deg,Tlat Min,Tlat Sec,Tlat NA,Tlon Deg,Tlon Min,Tlon Sec,Tlon EW,Time Sec,53 Lat,54 Lon,55 Tlat,56 Tlon
13,http://prrr.isaackoi.com/frames/frame00013.png,0,0,12,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,10,N,67,5,48,W,10,1875,0,271,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.4,18.50277778,-67.09666667,18.50416667,-67.15666667
14,http://prrr.isaackoi.com/frames/frame00014.png,0,0,13,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,10,N,67,5,48,W,10,1875,0,271,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.433333333,18.50277778,-67.09666667,18.50416667,-67.15666667
15,http://prrr.isaackoi.com/frames/frame00015.png,0,0,14,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.466666667,18.50305556,-67.09666667,18.50388889,-67.15666667
16,http://prrr.isaackoi.com/frames/frame00016.png,0,0,15,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.5,18.50305556,-67.09666667,18.50388889,-67.15666667
17,http://prrr.isaackoi.com/frames/frame00017.png,0,0,16,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.533333333,18.50305556,-67.09666667,18.50388889,-67.15666667
18,http://prrr.isaackoi.com/frames/frame00018.png,0,0,17,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.566666667,18.50305556,-67.09666667,18.50388889,-67.15666667
19,http://prrr.isaackoi.com/frames/frame00019.png,0,0,18,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.6,18.50305556,-67.09666667,18.50388889,-67.15666667
20,http://prrr.isaackoi.com/frames/frame00020.png,0,0,19,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,9,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.633333333,18.50305556,-67.09666667,18.50361111,-67.15666667
21,http://prrr.isaackoi.com/frames/frame00021.png,0,0,20,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,9,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.666666667,18.50305556,-67.09666667,18.50361111,-67.15666667
22,http://prrr.isaackoi.com/frames/frame00022.png,0,0,21,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,9,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.7,18.50305556,-67.09666667,18.50361111,-67.15666667
23,http://prrr.isaackoi.com/frames/frame00023.png,0,0,22,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,9,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.733333333,18.50305556,-67.09666667,18.50361111,-67.15666667
24,http://prrr.isaackoi.com/frames/frame00024.png,0,0,23,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,9,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.766666667,18.50305556,-67.09666667,18.50361111,-67.15666667
25,http://prrr.isaackoi.com/frames/frame00025.png,0,0,24,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,9,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.8,18.50305556,-67.09666667,18.50361111,-67.15666667
26,http://prrr.isaackoi.com/frames/frame00026.png,0,0,25,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,9,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.833333333,18.50305556,-67.09666667,18.50361111,-67.15666667
27,http://prrr.isaackoi.com/frames/frame00027.png,0,0,26,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,9,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.866666667,18.50305556,-67.09666667,18.50361111,-67.15666667
28,http://prrr.isaackoi.com/frames/frame00028.png,0,0,27,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,12,N,67,5,48,W,9,1877,0,270,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.9,18.50333333,-67.09666667,18.50361111,-67.15666667
29,http://prrr.isaackoi.com/frames/frame00029.png,0,0,28,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,12,N,67,5,48,W,9,1877,0,270,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.933333333,18.50333333,-67.09666667,18.50361111,-67.15666667
30,http://prrr.isaackoi.com/frames/frame00030.png,0,0,29,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,12,N,67,5,48,W,9,1877,0,270,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,0.966666667,18.50333333,-67.09666667,18.50361111,-67.15666667
31,http://prrr.isaackoi.com/frames/frame00031.png,0,1,0,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,12,N,67,5,48,W,9,1877,0,270,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,1,18.50333333,-67.09666667,18.50361111,-67.15666667
32,http://prrr.isaackoi.com/frames/frame00032.png,0,1,1,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,12,N,67,5,48,W,9,1877,0,270,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,1.033333333,18.50333333,-67.09666667,18.50361111,-67.15666667
33,http://prrr.isaackoi.com/frames/frame00033.png,0,1,2,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,12,N,67,5,48,W,9,1877,0,270,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,1.066666667,18.50333333,-67.09666667,18.50361111,-67.15666667
34,http://prrr.isaackoi.com/frames/frame00034.png,0,1,3,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,12,N,67,5,48,W,9,1878,0,270,3.4,OFF,NONE,TGT,LOS,18,30,13,N,67,9,24,W,1.1,18.50333333,-67.09666667,18.50361111,-67.15666667
35,http://prrr.isaackoi.com/frames/frame00035.png,0,1,4,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1878,0,270,3.4,OFF,NONE,TGT,LOS,18,30,12,N,67,9,24,W,1.133333333,18.50361111,-67.09666667,18.50333333,-67.15666667
36,http://prrr.isaackoi.com/frames/frame00036.png,0,1,5,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1878,0,270,3.4,OFF,NONE,TGT,LOS,18,30,12,N,67,9,24,W,1.166666667,18.50361111,-67.09666667,18.50333333,-67.15666667
37,http://prrr.isaackoi.com/frames/frame00037.png,0,1,6,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1878,0,270,3.4,OFF,NONE,TGT,LOS,18,30,12,N,67,9,24,W,1.2,18.50361111,-67.09666667,18.50333333,-67.15666667
38,http://prrr.isaackoi.com/frames/frame00038.png,0,1,7,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1878,0,270,3.4,OFF,NONE,TGT,LOS,18,30,12,N,67,9,24,W,1.233333333,18.50361111,-67.09666667,18.50333333,-67.15666667
39,http://prrr.isaackoi.com/frames/frame00039.png,0,1,8,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1878,0,270,3.4,OFF,NONE,TGT,LOS,18,30,12,N,67,9,24,W,1.266666667,18.50361111,-67.09666667,18.50333333,-67.15666667
40,http://prrr.isaackoi.com/frames/frame00040.png,0,1,9,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1878,0,270,3.4,OFF,NONE,TGT,LOS,18,30,12,N,67,9,24,W,1.3,18.50361111,-67.09666667,18.50333333,-67.15666667
41,http://prrr.isaackoi.com/frames/frame00041.png,0,1,10,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,10,N,67,9,24,W,1.333333333,18.50361111,-67.09666667,18.50277778,-67.15666667
42,http://prrr.isaackoi.com/frames/frame00042.png,0,1,11,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,10,N,67,9,24,W,1.366666667,18.50361111,-67.09666667,18.50277778,-67.15666667
43,http://prrr.isaackoi.com/frames/frame00043.png,0,1,12,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,10,N,67,9,24,W,1.4,18.50361111,-67.09666667,18.50277778,-67.15666667
44,http://prrr.isaackoi.com/frames/frame00044.png,0,1,13,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,10,N,67,9,24,W,1.433333333,18.50361111,-67.09666667,18.50277778,-67.15666667
45,http://prrr.isaackoi.com/frames/frame00045.png,0,1,14,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,10,N,67,9,24,W,1.466666667,18.50361111,-67.09666667,18.50277778,-67.15666667
46,http://prrr.isaackoi.com/frames/frame00046.png,0,1,15,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,10,N,67,9,24,W,1.5,18.50361111,-67.09666667,18.50277778,-67.15666667
47,http://prrr.isaackoi.com/frames/frame00047.png,0,1,16,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,13,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,10,N,67,9,24,W,1.533333333,18.50361111,-67.09666667,18.50277778,-67.15666667
48,http://prrr.isaackoi.com/frames/frame00048.png,0,1,17,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,14,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,9,N,67,9,23,W,1.566666667,18.50388889,-67.09666667,18.5025,-67.15638889
49,http://prrr.isaackoi.com/frames/frame00049.png,0,1,18,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,14,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,9,N,67,9,23,W,1.6,18.50388889,-67.09666667,18.5025,-67.15638889
50,http://prrr.isaackoi.com/frames/frame00050.png,0,1,19,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,14,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,9,N,67,9,23,W,1.633333333,18.50388889,-67.09666667,18.5025,-67.15638889
51,http://prrr.isaackoi.com/frames/frame00051.png,0,1,20,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,14,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,9,N,67,9,23,W,1.666666667,18.50388889,-67.09666667,18.5025,-67.15638889
52,http://prrr.isaackoi.com/frames/frame00052.png,0,1,21,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,14,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,9,N,67,9,23,W,1.7,18.50388889,-67.09666667,18.5025,-67.15638889
53,http://prrr.isaackoi.com/frames/frame00053.png,0,1,22,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,14,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,9,N,67,9,23,W,1.733333333,18.50388889,-67.09666667,18.5025,-67.15638889
54,http://prrr.isaackoi.com/frames/frame00054.png,0,1,23,26-Apr-13,1,22,9,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,14,N,67,5,48,W,,1879,0,269,3.4,OFF,NONE,TGT,LOS,18,30,9,N,67,9,23,W,1.766666667,18.50388889,-67.09666667,18.5025,-67.15638889
