Frame,Az
0,-35
12,-36
84,-37
132,-38
150,-39
240,-40
258,-41
300,-42
354,-43
384,-44
408,-45
438,-46
462,-47
492,-48
539,-49
635,-50
695,-51
737,-52
785,-53
827,-54
875,-55
911,-56
947,-57
983,-58
