Frame,X pixels,Y pixels,,,Frame,X pixels,Y pixels,,offx,offy,len,Bank Angle,,Cue Angle
338,767.633,409.496,,,338,1142.72,418.223,,375.087,8.727,375.1885101,1.332837638,0.023260307,44.47365233
339,767.691,409.758,,,339,1142.7,417.531,,375.009,7.773,375.0895488,1.187428383,0.020723051,44.465377
340,767.664,410.387,,,340,1142.79,417.453,,375.126,7.066,375.1925429,1.079115035,0.018832997,44.44914771
341,767.695,410.387,,,341,1142.77,417.406,,375.075,7.019,375.1406696,1.072084626,0.018710315,44.49983395
342,767.746,410.48,,,342,1142.83,416.957,,375.084,6.477,375.1399187,0.989292756,0.017265558,44.69336087
343,767.793,410.762,,,343,1142.75,416.621,,374.957,5.859,375.002773,0.895219063,0.015623884,44.62794028
344,767.777,410.766,,,344,1142.83,416.613,,375.053,5.847,375.098574,0.893157198,0.015587903,44.46148953
345,767.715,411.348,,,345,1142.73,416.5,,375.015,5.152,375.0503877,0.787086616,0.013736821,44.51803171
346,767.758,411.766,,,346,1142.5,415.355,,374.742,3.589,374.759186,0.548719561,0.009576817,44.51775691
347,767.723,411.77,,,347,1142.66,415.41,,374.937,3.64,374.9546687,0.556227008,0.00970784,44.51142046
348,768.25,412.371,,,348,1142.64,415.211,,374.39,2.84,374.4007715,0.434618694,0.007585454,44.50533934
349,767.652,412.391,,,349,1142.86,415.203,,375.208,2.812,375.2185371,0.429395737,0.007494299,44.48751383
350,767.836,412.5,,,350,1142.77,414.887,,374.934,2.387,374.9415983,0.364766007,0.006366325,44.64023803
351,767.922,412.652,,,351,1142.87,414.688,,374.948,2.036,374.9535278,0.31111797,0.005430006,44.69183595
352,767.977,412.766,,,352,1142.89,414.598,,374.913,1.832,374.917476,0.279971707,0.004886409,44.71544009
353,767.801,413.359,,,353,1142.91,414.598,,375.109,1.239,375.1110462,0.189249559,0.003303022,44.68994266
354,767.828,413.238,,,354,1142.97,413.262,,375.142,0.024,375.1420008,0.003665542,6.39758E-05,44.6856717
355,767.793,413.129,,,355,1142.82,413.414,,375.027,0.285,375.0271083,0.043541649,0.000759945,44.65185925
356,767.793,413.258,,,356,1142.74,413.121,,374.947,-0.137,374.947025,-0.020935016,-0.000365385,44.53290959
